prompt,deviation,rgb,hex
acid green,31.17,68 193 46,#44c12e
algae green,25.99,59 159 58,#3b9f3a
aliceblue,22.13,109 158 182,#6d9eb6
alien gray,17.29,104 113 109,#68716d
alien green,26.91,45 169 40,#2da928
alizarin red lake pr83,35.64,182 52 42,#b6342a
alizarin scarlet lake,30.1,190 54 45,#be362d
alizarin scarlet lake pr48 2 py83,31.51,182 47 36,#b62f24
aloe vera green,20.49,114 195 90,#72c35a
amber,16.06,207 125 18,#cf7d12
antique bronze,17.19,109 74 43,#6d4a2b
antique white,18.02,203 199 184,#cbc7b8
antiquewhite,18.29,201 198 184,#c9c6b8
aqua,26.11,105 183 179,#69b7b3
aqua green,25.31,85 189 146,#55bd92
aqua seafoam green,16.62,133 210 177,#85d2b1
aquamarine,21.82,103 188 184,#67bcb8
aquamarine stone,25.44,104 178 173,#68b2ad
army brown,20.42,127 92 58,#7f5c3a
army green,26.18,70 111 55,#466f37
ash gray,21.14,128 128 123,#80807b
ash white,15.42,202 201 191,#cac9bf
avocado green,24.61,132 179 46,#84b32e
aztech purple,18.03,101 62 117,#653e75
azur,36.8,103 147 136,#679388
azur hue pb15,38.42,126 151 140,#7e978c
azure,26.07,70 161 186,#46a1ba
azure blue,25.65,49 148 189,#3194bd
baby blue,19.37,137 181 197,#89b5c5
baby doll blue,21.62,131 168 178,#83a8b2
baby pink,14.99,224 170 170,#e0aaaa
bakers brown,24.32,141 100 64,#8d6440
balloon blue,20.59,75 146 181,#4b92b5
banana yellow,10.69,234 210 24,#ead218
barbie pink,14.09,224 142 163,#e08ea3
baryte green,28.05,48 147 71,#309347
baryte green py32 py31,31.14,61 167 74,#3da74a
bashful pink,19.68,217 155 158,#d99b9e
basil green,26.81,69 148 70,#459446
basket ball orange,25.84,201 102 19,#c96613
battleship gray,20.11,115 120 117,#737875
bean red,33.07,175 47 34,#af2f22
bee yellow,22.72,217 183 22,#d9b716
beer,23.83,197 138 36,#c58a24
beetle green,29.8,62 140 56,#3e8c38
beige,13.38,213 186 144,#d5ba90
bisque,23.33,197 172 130,#c5ac82
black,11.53,25 25 22,#191916
black bean,29.59,59 51 34,#3b3322
black blue,25.12,18 46 71,#122e47
black eel,21.73,37 37 34,#252522
black for fresco,18.78,42 42 38,#2a2a26
black for fresco pbk67,17.14,38 36 31,#26241f
black lake,29.69,75 83 78,#4b534e
blanc,21.08,192 192 181,#c0c0b5
blanche,18.69,197 195 181,#c5c3b5
blanchedalmond,18.76,212 191 149,#d4bf95
bleu,26.27,67 140 178,#438cb2
bleue,23.17,73 142 177,#498eb1
blonde,23.89,196 169 95,#c4a95f
blood red,24.32,162 20 16,#a21410
blossom pink,18.96,212 155 162,#d49ba2
blue,26.32,54 133 176,#3685b0
blue angel,21.31,77 138 175,#4d8aaf
blue black,27.06,18 53 84,#123554
blue diamond,25.9,61 129 171,#3d81ab
blue gray,22.92,97 129 149,#618195
blue green,25.92,43 160 132,#2ba084
blue hosta,22.24,83 134 171,#5386ab
blue ivy,27.84,43 114 132,#2b7284
blue lagoon,19.99,95 172 192,#5facc0
blue magenta,31.21,66 78 148,#424e94
blue moss green,21.46,71 149 127,#47957f
blue orchid,26.69,95 144 178,#5f90b2
blue ribbon,33.81,91 138 162,#5b8aa2
blue turquoise,25.36,67 175 180,#43afb4
blue zircon,26.95,49 119 160,#3177a0
blueberry blue,22.96,54 107 154,#366b9a
blueviolet,22.0,69 77 158,#454d9e
bluey almost black,26.38,17 50 79,#11324f
bluey black,22.78,19 46 69,#132e45
blurple,17.52,118 80 140,#76508c
blush,17.2,212 156 147,#d49c93
blush pink,14.95,224 169 164,#e0a9a4
blush red,20.28,210 102 91,#d2665b
bold black,11.08,26 24 19,#1a1813
bold blue,30.14,43 123 174,#2b7bae
bold blueish purple,17.4,75 68 144,#4b4490
bold bluey gray,23.65,95 127 148,#5f7f94
bold bluey green,32.62,41 169 117,#29a975
bold bluey turquoise,30.15,54 181 187,#36b5bb
bold brown,19.36,144 83 38,#905326
bold brownish gray,18.77,116 94 73,#745e49
bold gray,19.51,122 121 117,#7a7975
bold green,30.58,51 182 48,#33b630
bold greenish blue,32.66,49 165 123,#31a57b
bold greenish brown,25.0,110 110 52,#6e6e34
bold greenish gray,19.97,100 131 104,#648368
bold greenish yellow,25.8,188 211 8,#bcd308
bold greeny turquoise,29.99,57 190 125,#39be7d
bold orange,14.11,223 108 11,#df6c0b
bold orangy brown,18.94,204 100 19,#cc6413
bold orangy gray,22.66,193 108 48,#c16c30
bold orangy pink,16.17,229 111 80,#e56f50
bold orangy red,20.59,216 68 14,#d8440e
bold orangy yellow,14.67,239 182 4,#efb604
bold pink,19.38,221 116 140,#dd748c
bold pinkish orange,14.57,232 108 62,#e86c3e
bold pinkish purple,18.92,190 78 141,#be4e8d
bold pinkish red,16.84,212 58 67,#d43a43
bold purple,18.08,108 61 134,#6c3d86
bold purplish brown,22.36,110 57 65,#6e3941
bold purplish gray,18.59,110 88 119,#6e5877
bold purply blue,24.27,59 66 137,#3b4289
bold purply red,23.36,165 24 36,#a51824
bold red,23.73,193 29 19,#c11d13
bold reddish brown,27.25,164 54 22,#a43616
bold reddish gray,30.14,149 57 51,#953933
bold reddish orange,18.35,217 72 12,#d9480c
bold reddish pink,16.58,211 61 71,#d33d47
bold reddish purple,27.02,144 30 62,#901e3e
bold turquoise,32.56,72 188 172,#48bcac
bold yellow,15.41,239 210 3,#efd203
bold yellowish brown,16.55,223 171 12,#dfab0c
bold yellowish gray,18.79,218 186 46,#daba2e
bold yellowy green,23.38,197 217 5,#c5d905
bold yellowy orange,12.06,239 176 5,#efb005
boldest blue,31.69,45 122 172,#2d7aac
bone white,22.77,197 195 182,#c5c3b6
bottle green,21.09,44 145 61,#2c913d
brass,22.94,153 115 47,#99732f
bright black,15.7,29 23 16,#1d1710
bright blue,28.68,45 149 197,#2d95c5
bright blueish purple,20.1,86 82 167,#5652a7
bright bluey gray,25.45,100 146 168,#6492a8
bright bluey turquoise,27.63,56 191 195,#38bfc3
bright brown,18.78,176 98 33,#b06221
bright brownish gray,19.39,143 109 79,#8f6d4f
bright cyan,34.59,82 190 180,#52beb4
bright gold,21.85,219 166 21,#dba615
bright grape,22.02,132 66 116,#844274
bright gray,19.84,142 144 140,#8e908c
bright green,19.27,69 222 43,#45de2b
bright greenish blue,31.09,65 194 139,#41c28b
bright greenish brown,27.07,123 148 48,#7b9430
bright greenish gray,26.15,115 166 116,#73a674
bright greenish yellow,23.11,185 225 15,#b9e10f
bright greeny turquoise,26.23,68 210 133,#44d285
bright lilac,18.21,182 143 189,#b68fbd
bright maroon,24.77,142 30 32,#8e1e20
bright navy blue,27.95,30 71 115,#1e4773
bright neon pink,21.26,219 63 124,#db3f7c
bright orange,14.56,227 113 9,#e37109
bright orangy brown,15.92,213 109 18,#d56d12
bright orangy gray,22.14,197 118 55,#c57637
bright orangy pink,14.54,229 109 86,#e56d56
bright orangy red,19.07,221 66 15,#dd420f
bright orangy yellow,13.3,240 186 4,#f0ba04
bright pink,14.77,222 100 138,#de648a
bright pinkish orange,15.31,231 112 72,#e77048
bright pinkish purple,21.01,204 83 152,#cc5398
bright pinkish red,18.04,218 62 76,#da3e4c
bright purple,20.78,124 62 149,#7c3e95
bright purplish brown,22.9,131 62 77,#833e4d
bright purplish gray,15.13,130 104 143,#82688f
bright purply blue,30.23,64 77 158,#404d9e
bright purply red,23.67,186 26 46,#ba1a2e
bright red,19.42,203 23 16,#cb1710
bright reddish brown,28.31,187 54 19,#bb3613
bright reddish gray,31.81,170 58 49,#aa3a31
bright reddish orange,18.19,221 71 12,#dd470c
bright reddish pink,18.55,217 58 73,#d93a49
bright reddish purple,26.81,168 28 67,#a81c43
bright teal,24.71,67 177 158,#43b19e
bright turquoise,26.01,73 199 181,#49c7b5
bright yellow,12.61,238 214 3,#eed603
bright yellow py1 pr4,18.86,235 209 15,#ebd10f
bright yellowish brown,16.37,227 175 14,#e3af0e
bright yellowish gray,21.15,219 192 55,#dbc037
bright yellowy green,21.43,197 227 4,#c5e304
bright yellowy orange,14.5,239 181 5,#efb505
brightest boldest blue,35.51,52 136 185,#3488b9
brilliant black,15.82,29 23 13,#1d170d
brilliant blue,29.07,39 132 183,#2784b7
brilliant blueish purple,18.86,74 66 153,#4a4299
brilliant bluey gray,23.74,91 133 157,#5b859d
brilliant bluey green,36.06,45 177 123,#2db17b
brilliant bluey turquoise,28.18,50 184 189,#32b8bd
brilliant brown,21.17,154 83 28,#9a531c
brilliant brownish gray,20.37,123 92 67,#7b5c43
brilliant gray,20.83,116 118 116,#747674
brilliant green,27.22,58 202 40,#3aca28
brilliant greenish blue,31.75,47 179 132,#2fb384
brilliant greenish brown,26.33,110 121 44,#6e792c
brilliant greenish gray,23.86,97 145 107,#61916b
brilliant greenish yellow,24.14,188 218 10,#bcda0a
brilliant greeny turquoise,27.4,51 194 129,#33c281
brilliant orange,15.22,225 110 9,#e16e09
brilliant orangy brown,18.5,203 99 16,#cb6310
brilliant orangy gray,22.84,190 108 49,#be6c31
brilliant orangy pink,17.08,224 100 71,#e06447
brilliant orangy red,23.36,212 64 13,#d4400d
brilliant orangy yellow,19.36,238 179 4,#eeb304
brilliant pink,17.22,218 102 135,#da6687
brilliant pinkish orange,15.49,228 105 59,#e4693b
brilliant pinkish purple,20.95,190 74 141,#be4a8d
brilliant pinkish red,18.34,209 53 67,#d13543
brilliant purple,21.9,115 57 137,#733989
brilliant purplish brown,22.28,113 54 63,#71363f
brilliant purplish gray,17.85,110 82 122,#6e527a
brilliant purply blue,34.59,53 71 146,#354792
brilliant purply red,26.59,164 24 39,#a41827
brilliant red,21.4,187 18 12,#bb120c
brilliant reddish brown,28.41,164 52 19,#a43413
brilliant reddish orange,19.69,216 70 10,#d8460a
brilliant reddish pink,21.97,209 52 70,#d13446
brilliant reddish purple,28.69,149 26 63,#951a3f
brilliant turquoise,28.07,62 189 176,#3ebdb0
brilliant yellow,14.7,239 213 7,#efd507
brilliant yellowish brown,17.78,222 169 12,#dea90c
brilliant yellowish gray,23.24,216 184 37,#d8b825
brilliant yellowy green,24.1,195 219 3,#c3db03
brilliant yellowy orange,15.8,237 176 4,#edb004
broccoli green,25.44,80 171 61,#50ab3d
bronze,19.27,127 81 42,#7f512a
bronze gold,20.45,162 115 42,#a2732a
brown,18.12,145 94 55,#915e37
brown madder,20.68,147 75 29,#934b1d
brown madder pbr23 py42,21.1,132 78 40,#844e28
brown ochre,13.41,186 120 39,#ba7827
brown ochre pbr7 pg7,14.37,186 119 42,#ba772a
brown rust,17.58,158 85 37,#9e5525
brown sand,15.15,187 138 88,#bb8a58
brown sugar,17.63,174 113 56,#ae7138
bullet shell,29.9,143 116 63,#8f743f
burgundy,21.13,118 37 41,#762529
burlywood,24.13,173 137 84,#ad8954
burnt pink,22.5,208 118 121,#d07679
burnt sienna,16.49,189 98 26,#bd621a
burnt sienna pbr7,17.67,178 101 38,#b26526
burnt umber,16.66,171 88 25,#ab5819
burnt umber pbr7,18.33,163 90 32,#a35a20
cactus green,23.83,97 178 84,#61b254
cadet blue,27.43,51 111 152,#336f98
cadetblue,24.96,68 121 152,#447998
cadillac pink,20.7,208 146 154,#d0929a
cadmium,27.25,189 133 34,#bd8522
cadmium lemon,20.18,223 201 11,#dfc90b
cadmium lemon yellow,10.79,237 215 23,#edd717
cadmium lemon yellow py35,9.3,238 218 31,#eeda1f
cadmium lemon yellow sub py1 py3,8.87,235 221 19,#ebdd13
cadmium orange yellow,16.13,232 164 7,#e8a407
cadmium orange yellow po20,15.78,235 169 10,#eba90a
cadmium orange yellow sub py1 pr4,15.6,235 166 4,#eba604
cadmium red deep,25.99,167 29 20,#a71d14
cadmium red deep pr108,25.87,174 38 25,#ae2619
cadmium red light,31.4,169 25 19,#a91913
cadmium red light pr108,26.49,186 40 30,#ba281e
cadmium red light sub pr4,30.02,177 30 24,#b11e18
cadmium red orange,22.36,212 79 16,#d44f10
cadmium red orange light,22.81,203 67 10,#cb430a
